,year,target_area,no_of_place,sleepnights,accommodation,number_of_ppl,number_of_children,cost_total_trip,cost_total_per_person,satisfied,sex,age,month,living_area,target_beforesplit,transportation,reason,relationship_beforesplit,relationship1,relationship2,relationship3,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_14,target_15,target_16,target_17,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,target_area7,target_area8,target_area9,target_area10,target_area11,transportation1,transportation2,transportation3,reason1,reason2,reason3,accommodation_1,accommodation_2,accommodation_3,accommodation_4,accommodation_5,accommodation_6,accommodation_7,accommodation_8,accommodation_9,accommodation_10,accommodation_11,accommodation_12,accommodation_13,accommodation_14
3627,2018.0,21310,1,0,0,2.0,0.0,70000.0,,4.0,1,57,12,26,"1,2,8",1,"8,7,4",1,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,21310,,,,,,,,,,,1,,,8,7,4,,,,,,,,,,,,,,
3628,2018.0,21020,1,0,0,4.0,0.0,45370.37037037037,,5.0,1,45,12,26,"1,2,6",1,"12,4,8",1,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,21020,,,,,,,,,,,1,,,12,4,8,,,,,,,,,,,,,,
3630,2018.0,21310,1,0,0,4.0,0.0,60000.0,,4.0,2,50,12,26,"1,2,6",1,"8,4,2",3,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,21310,,,,,,,,,,,1,,,8,4,2,,,,,,,,,,,,,,
3631,2018.0,21070,1,0,0,2.0,0.0,40000.0,,4.0,2,34,6,26,"1,2",1,"12,9,3",3,3.0,,,1.0,1.0,,,,,,,,,,,,,,,21070,,,,,,,,,,,1,,,12,9,3,,,,,,,,,,,,,,
3632,2018.0,21090,1,0,0,4.0,0.0,70000.0,,4.0,1,16,6,26,"3,6",1,"5,1,3",1,1.0,,,,,1.0,,,1.0,,,,,,,,,,,21090,,,,,,,,,,,1,,,5,1,3,,,,,,,,,,,,,,
3633,2018.0,37020,1,0,0,6.0,0.0,60000.0,,4.0,2,55,6,26,"1,11",1,"9,1,11",3,3.0,,,1.0,,,,,,,,,,1.0,,,,,,37020,,,,,,,,,,,1,,,9,1,11,,,,,,,,,,,,,,
3634,2018.0,21090,1,0,0,4.0,0.0,100000.0,,4.0,1,50,6,26,"6,9",1,"5,1,4",3,3.0,,,,,,,,1.0,,,1.0,,,,,,,,21090,,,,,,,,,,,1,,,5,1,4,,,,,,,,,,,,,,
3635,2018.0,37020,1,0,0,3.0,0.0,50000.0,,5.0,1,27,8,26,"1,2,4",1,"5,14,8",1,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,37020,,,,,,,,,,,1,,,5,14,8,,,,,,,,,,,,,,
3636,2018.0,32060,1,2,"1,5",4.0,0.0,243137.2549019608,,4.0,1,44,8,26,"1,2,4",1,"5,1,14","1,3",1.0,3.0,,1.0,1.0,,1.0,,,,,,,,,,,,,32060,,,,,,,,,,,1,,,5,1,14,1.0,5.0,,,,,,,,,,,,
3637,2018.0,38080,1,2,10,2.0,0.0,100000.0,,5.0,2,59,8,26,"1,2,6",1,"1,11,6",1,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,38080,,,,,,,,,,,1,,,1,11,6,10.0,10.0,,,,,,,,,,,,
3638,2018.0,39020,1,3,"1,3,4",4.0,0.0,800000.0,,4.0,2,30,2,26,"2,6,17","3,8","6,8,1",3,3.0,,,,1.0,,,,1.0,,,,,,,,,,1.0,39020,,,,,,,,,,,3,8,,6,8,1,1.0,3.0,4.0,,,,,,,,,,,
3639,2018.0,37020,1,0,0,4.0,0.0,40000.0,,4.0,1,66,2,26,"1,3,6",1,"1,10,5",3,3.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,37020,,,,,,,,,,,1,,,1,10,5,,,,,,,,,,,,,,
3640,2018.0,36020,1,2,1,3.0,0.0,200000.0,,4.0,2,54,6,26,"1,2,6",1,"1,4,8",3,3.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,36020,,,,,,,,,,,1,,,1,4,8,1.0,1.0,,,,,,,,,,,,
3641,2018.0,37020,1,1,1,3.0,1.0,100000.0,,3.0,2,30,6,26,"3,6",1,"10,2,1",3,3.0,,,,,1.0,,,1.0,,,,,,,,,,,37020,,,,,,,,,,,1,,,10,2,1,1.0,,,,,,,,,,,,,
3642,2018.0,21310,1,0,0,3.0,1.0,70000.0,,3.0,1,44,6,26,"2,6",1,"8,1,2",1,1.0,,,,1.0,,,,1.0,,,,,,,,,,,21310,,,,,,,,,,,1,,,8,1,2,,,,,,,,,,,,,,
3643,2018.0,21090,1,0,0,7.0,0.0,45000.0,,4.0,1,17,6,26,"2,6",6,"1,11,9",3,3.0,,,,1.0,,,,1.0,,,,,,,,,,,21090,,,,,,,,,,,6,,,1,11,9,,,,,,,,,,,,,,
3644,2018.0,38080,1,0,0,7.0,0.0,70000.0,,4.0,1,51,6,26,"1,6",1,"1,3,2",1,1.0,,,1.0,,,,,1.0,,,,,,,,,,,38080,,,,,,,,,,,1,,,1,3,2,,,,,,,,,,,,,,
