,place_info,x,y,target
212,가봉제,126.949596939746,34.9181837254774,"힐링, 호캉스"
213,일월사,127.699881891081,36.9080809260468,"힐링, 호캉스"
214,서울DMC컬쳐오픈,126.892193523462,37.5776887836371,"축제, 관광"
215,관음사,127.372790650585,36.2997814686704,"힐링, 호캉스"
216,굴혈포갯벌체험장,126.267012455053,36.6815569386826,"힐링, 호캉스"
217,봉덕제,126.453360203341,35.2257000816151,"힐링, 호캉스"
218,용지제,127.455202442787,35.2579778793128,"힐링, 호캉스"
219,원광농장,127.080184946509,35.6000885750919,액티비티
220,삼밀사,128.661236846335,35.175611203699,"힐링, 호캉스"
221,백운산휴양타운,127.601261232053,35.0825237008722,액티비티
222,신기제,126.55757085383,35.3372032138109,"힐링, 호캉스"
223,풍곡제,126.482473749824,35.4121310005328,"힐링, 호캉스"
224,평화유원지,127.452112993518,38.0894386293475,액티비티
225,분지섬저수지,126.794175670243,37.2471881131363,"힐링, 호캉스"
226,소안저수지,126.654220887658,34.1466671084655,"힐링, 호캉스"
227,고포제,127.443579365721,34.5227530749694,"힐링, 호캉스"
228,수유제,126.226940053501,34.5135664967814,"힐링, 호캉스"
229,거제제,126.180020449857,34.4841822780636,"힐링, 호캉스"
230,교동제,126.482537187079,34.5754822140677,"힐링, 호캉스"
231,남성제,126.468434100318,34.571806766791,"힐링, 호캉스"
232,용정제,126.572383351251,34.5681262581763,"힐링, 호캉스"
233,비선제,127.153966480065,34.5717720082371,"힐링, 호캉스"
234,금자2저수지,126.52598335324,34.5977234349855,"힐링, 호캉스"
235,간월호,126.471470393028,36.6951577332505,"힐링, 호캉스"
236,연지지,128.202848640739,36.6620252827314,"힐링, 호캉스"
237,석용제,126.331037856867,34.6055154230061,"힐링, 호캉스"
238,가래곡지,128.979955434944,36.5688127869154,"힐링, 호캉스"
239,소장동저수지,126.076246615705,34.5957851117124,"힐링, 호캉스"
240,마산제,126.325134460949,34.7098556716761,"힐링, 호캉스"
241,가학제,126.629514864429,34.6967867438045,"힐링, 호캉스"
242,화매저수지,129.187191165912,36.522345133666,"힐링, 호캉스"
243,삭둔제,126.833964589394,34.6793051841075,"힐링, 호캉스"
244,산정제,126.521904044652,35.3794841088687,"힐링, 호캉스"
245,지동제,128.10435498548,36.0695543223268,"힐링, 호캉스"
246,화산지,128.815514382347,36.0590477403595,"힐링, 호캉스"
247,와곡지,128.832531173281,36.0243315662183,"힐링, 호캉스"
248,성산저수지,127.64628294269,34.7747017069984,"힐링, 호캉스"
249,목원공예전시판매장,127.369895634436,35.4656696196607,"식도락, 맛집투어"
250,장곡제,126.505984999433,35.3675918880086,"힐링, 호캉스"
251,우도저수지,126.963001974678,33.4957115399836,"힐링, 호캉스"
252,학동제,126.745735111446,34.7497412706724,"힐링, 호캉스"
253,학용제,126.636097823303,34.7354622164152,"힐링, 호캉스"
254,유수제,126.67947694575,34.8486368917683,"힐링, 호캉스"
255,죽전제,126.482496963909,34.8950701006182,"힐링, 호캉스"
256,영천소류지,127.808143517059,34.9913244960603,"힐링, 호캉스"
257,죽림제,127.624334726095,34.9813225601029,"힐링, 호캉스"
258,자풍제,126.475421055698,35.0283584656739,"힐링, 호캉스"
259,수호제,126.502961892228,35.052259268645,"힐링, 호캉스"
260,농신제,127.036347356369,35.0209759582391,"힐링, 호캉스"
261,수곡제,127.311961031098,35.1224805991607,"힐링, 호캉스"
262,용사제,127.309117104277,35.1214278092264,"힐링, 호캉스"
263,수산제,127.212134786456,35.1919937445607,"힐링, 호캉스"
264,신촌제,127.457823546358,35.1728599155737,"힐링, 호캉스"
265,정수1소류지,127.880822601332,35.1570543138562,"힐링, 호캉스"
266,민드득못,128.43991316105,35.2199561745497,"힐링, 호캉스"
267,오미제,127.510579797369,35.2050041348769,"힐링, 호캉스"
268,문학제,127.064372345557,35.2441636702186,"힐링, 호캉스"
269,축산저수지,126.857299651163,35.9936046737537,"힐링, 호캉스"
270,원당제,126.550448191146,35.3018007895987,"힐링, 호캉스"
271,석산제,126.577514969191,35.2685933247795,"힐링, 호캉스"
272,만수제,126.85907962685,35.263901597481,"힐링, 호캉스"
273,백곡이호제,127.356281876986,35.3110476126978,"힐링, 호캉스"
274,대동제,127.396558861198,35.4825302787441,"힐링, 호캉스"
275,우견제,126.68712060449,35.5398188045735,"힐링, 호캉스"
276,매죽제,127.043354630063,35.5311742299539,"힐링, 호캉스"
277,오정제,126.859356197383,35.5895759192216,"힐링, 호캉스"
278,신복양어장,126.645203494606,35.5918577666163,"힐링, 호캉스"
279,옥남제,126.775963395287,35.6369309791995,"힐링, 호캉스"
280,경산불교사,128.736728419018,35.8184197020994,"힐링, 호캉스"
281,본리지,128.452796247276,35.7872339274675,"힐링, 호캉스"
282,송촌지,128.47778400598,35.7607423393943,"힐링, 호캉스"
283,중촌지,128.661417221832,35.7636794357214,"힐링, 호캉스"
284,망월지,128.70489281862,35.826726725609,"힐링, 호캉스"
285,하도치제,127.458845650013,35.8033610613174,"힐링, 호캉스"
286,선제,126.993661784538,35.8371975355289,"힐링, 호캉스"
287,율산제,126.984742158825,35.7903279729813,"힐링, 호캉스"
288,신성제,126.93748786716,35.8227918839919,"힐링, 호캉스"
289,사동제,127.19544170007,35.8443039080237,"힐링, 호캉스"
290,은방수양어장,127.19465052443,35.8600663262944,"힐링, 호캉스"
291,세목지,128.252440574836,35.8594586140647,"힐링, 호캉스"
292,새검지,128.755797445891,35.885230617593,"힐링, 호캉스"
293,연화지,129.002064764432,36.0069839846098,"힐링, 호캉스"
294,삼양굴비,126.445592089119,35.3617904341721,"식도락, 맛집투어"
295,강릉바우길,128.846885647603,37.7582258931108,"힐링, 호캉스"
296,금선선원,129.084366801899,35.2286708772904,"힐링, 호캉스"
297,자비사,129.265871297465,35.7610475847908,"힐링, 호캉스"
298,옥용사,128.044428470607,36.641366673204,"힐링, 호캉스"
299,만물공예사,128.898237335819,37.7429797288572,"식도락, 맛집투어"
300,송원사,127.198681320413,37.7555485238465,"힐링, 호캉스"
301,수월사,129.17344094856,35.3587498798641,"힐링, 호캉스"
302,용암사,127.600122657956,36.5747172694159,"힐링, 호캉스"
303,화엄사,128.975141806244,35.1225084048247,"힐링, 호캉스"
304,정토사,127.691535342975,35.0057283980701,"힐링, 호캉스"
305,금선사,126.799579298451,35.1459796682678,"힐링, 호캉스"
306,향림사,127.84464865274,36.7954820380944,"힐링, 호캉스"
307,일월산황씨부인당,129.087184623206,36.8086241664478,"힐링, 호캉스"
308,임학사,127.688742821293,36.7981483997864,"힐링, 호캉스"
309,용두정사,128.402767148472,36.7914907936585,"힐링, 호캉스"
310,대원사,127.199003233843,37.0185937245005,"힐링, 호캉스"
311,보현사,126.230484986076,33.2403474352556,"힐링, 호캉스"
312,월명사,128.398121971261,35.2725731961462,"힐링, 호캉스"
313,세명사,128.97499580423,35.9189099580571,"힐링, 호캉스"
314,화림사,127.779065429204,35.4042553046588,"힐링, 호캉스"
315,염불사,129.272491664779,35.9721008736042,"힐링, 호캉스"
316,대복정사,127.452157318076,36.8896053899103,"힐링, 호캉스"
317,세계불교법왕청평화재단,127.092922327061,37.1665719217901,"힐링, 호캉스"
318,만해사,127.281767963609,34.6073941627655,"힐링, 호캉스"
