,year,target_area,no_of_place,sleepnights,accommodation,number_of_ppl,number_of_children,cost_total_trip,cost_total_per_person,satisfied,sex,age,month,living_area,target_beforesplit,transportation,reason,relationship
12525,2020,"2,403,036,450",2,1,12,2,0,60000,30000,4,2,61,1,13,1,1,"4,14,8",1
12526,2020,36440,1,0,,3,0,100000,50000,4,2,48,1,13,"1,2",1,"1,2,8",1
12528,2020,36350,1,0,,3,0,174999,50833,4,2,29,2,13,1,1,"8,9",1
12529,2020,35350,1,0,,3,0,95001,31667,4,2,62,2,13,6,1,"2,9,8",1
12530,2020,35050,1,0,,3,0,145001,46667,4,1,53,2,13,"1,2",1,"8,2,9",1
12531,2020,35060,1,0,,3,0,255000,72500,4,1,32,2,13,6,1,"2,4",3
12532,2020,36330,1,0,,3,0,160000,37500,4,1,72,2,13,1,1,"4,8,1",3
12533,2020,36310,1,0,,6,0,689994,114999,5,1,54,3,13,"1,2,6",1,"8,2,1",3
12534,2020,35010,1,0,,4,0,290000,72500,4,1,21,3,13,"2,15",1,"2,1,3",3
12535,2020,35060,1,0,,4,0,164999,43333,4,2,43,4,13,"1,6",1,"8,2",1
12536,2020,35050,1,0,,3,0,158002,45334,4,1,33,4,13,6,1,"8,3",3
12537,2020,35360,1,0,,3,0,122001,40667,3,2,32,4,13,"2,6",1,"2,8",1
12538,2020,"3,601,036,010",2,0,,3,0,165999,55333,4,1,18,3,13,"1,2,6","6,10","4,14,5",3
12542,2020,35330,1,0,,4,2,200000,50000,4,1,45,4,13,1,1,2,1
12543,2020,"390,103,901,039,020",3,2,"4,4",6,0,1390008,231668,4,1,55,4,13,"1,2,6","3,8","1,2",1
12544,2020,35380,1,0,,3,1,200001,66667,4,2,37,4,13,1,1,"2,1",1
12545,2020,36330,1,1,3,2,0,270000,135000,4,1,27,4,13,"1,6",1,"2,11",3
12546,2020,36370,1,0,,4,0,200000,50000,4,2,62,5,13,1,1,11,3
12547,2020,"3,635,036,350",2,1,3,4,2,400000,100000,4,1,46,5,13,"1,6",1,2,1
12548,2020,35380,1,1,3,4,2,300000,75000,4,2,38,5,13,"1,6",1,2,1
12549,2020,36330,1,1,3,4,0,300000,75000,4,2,28,5,13,"1,6",1,2,3
12550,2020,36320,1,1,3,2,0,210000,105000,4,1,32,5,13,"1,6",1,"2,1",3
12551,2020,35370,1,0,,3,0,51000,25500,4,2,61,6,13,"2,6",1,"8,2",3
12552,2020,35060,1,0,,3,0,108000,36000,4,2,73,6,13,"2,6",1,"2,5",3
12553,2020,35050,1,0,,3,0,195003,65001,4,1,75,6,13,6,1,"8,4",3
12554,2020,36030,1,0,,3,0,133002,44334,4,1,61,6,13,6,1,"1,3,2",3
12558,2020,"3,701,037,010",2,1,3,4,0,335000,83750,5,1,49,7,13,"1,2,5,6,8,11,15",1,"13,11",1
12559,2020,"2,901,029,010",2,0,,2,0,275000,165500,3,1,48,3,13,"1,6,9",1,"5,3,14",4
12562,2020,"3,640,036,400",2,0,,4,0,152000,50750,4,1,54,5,13,"1,6,9",1,"5,2,3",1
12563,2020,"360,203,602,036,020",3,0,,2,0,196000,98000,4,1,33,5,13,"1,2,3,6",1,"11,14,5",3
12564,2020,"35,020,350,203,603,000,000",4,"0,0",,3,0,176001,58667,4,1,16,5,13,"1,2,16",1,"9,5,2",1
12565,2020,35380,1,1,3,4,0,300000,75000,5,2,27,4,13,"1,6",1,2,3
12566,2020,35050,1,0,,2,0,150000,75000,4,1,55,4,13,1,1,"2,4",1
12567,2020,36480,1,1,3,4,2,300000,75000,4,1,45,4,13,"1,6",1,2,1
12568,2020,35320,1,1,3,2,0,200000,100000,4,1,35,4,13,"1,6",1,"4,2",3
12570,2020,36390,1,0,,3,0,158001,52667,4,1,43,6,13,"2,5",1,"2,5",3
12571,2020,35380,1,0,,3,0,190002,63334,4,2,26,6,13,6,1,"2,4",1
12573,2020,35380,1,1,3,4,2,300000,75000,4,2,37,5,13,"1,6",1,2,1
12574,2020,36020,1,1,4,4,2,350000,87500,4,2,43,5,13,"1,6",1,2,1
12575,2020,36320,1,1,3,2,0,210000,105000,4,1,55,5,13,"1,6",1,11,1
12576,2020,35360,1,1,3,4,0,300000,75000,4,2,27,5,13,"1,6",1,2,3
12577,2020,36380,1,1,11,4,2,380000,95000,5,1,49,5,13,"1,6",1,11,1
12579,2020,35370,1,0,,4,0,480000,120000,4,2,62,6,13,6,1,"3,2",1
12580,2020,36320,1,0,,3,0,188004,62668,4,2,55,6,13,6,1,2,3
12581,2020,36420,1,0,,3,0,37700,37700,5,2,65,7,13,"1,2,6",1,"2,8,5",3
12582,2020,36450,1,0,,5,0,39000,39000,5,2,72,7,13,"1,2,6,8",1,"8,2,3",3
12583,2020,"3,602,036,020",2,1,3,12,2,84000,50250,5,1,58,7,13,"1,2,4,5,6",1,"2,1,3",1
12584,2020,"3,602,036,020",2,1,4,4,2,480000,120000,4,1,48,8,13,"1,2,6",1,"2,1",1
12585,2020,35010,1,0,,3,1,150003,50001,4,2,37,8,13,"1,2",1,2,1
12586,2020,35380,1,1,3,4,2,350000,87500,4,2,48,8,13,"1,2,6",1,"1,2",1
12587,2020,"3,538,035,010",2,"0,0",,2,0,150000,75000,5,1,53,8,13,"1,2",1,"2,4",1
12588,2020,36380,1,1,3,3,1,350001,116667,5,1,35,8,13,"1,2,6",1,"2,1",1
12592,2020,"3,636,036,360",2,1,3,2,0,300000,150000,4,1,64,10,13,"1,2,6",1,"2,4",1
12593,2020,35330,1,0,,3,1,200001,66667,4,2,36,10,13,1,1,2,1
12594,2020,"3,504,035,380",2,"0,0",,4,2,200000,50000,5,1,35,10,13,"1,2",1,"2,4",1
12595,2020,35380,1,0,,4,0,200000,50000,4,2,63,10,13,"1,2",1,"2,8",3
12596,2020,"360,603,606,036,060",3,1,2,2,0,163000,81500,4,2,51,11,13,"1,2,6",1,"1,5,3",1
12597,2020,35360,1,0,,4,2,45000,11250,3,1,37,11,13,"1,2,6",1,"3,13,14",1
12598,2020,"343,803,438,034,380",3,1,3,2,0,256500,128250,4,1,52,11,13,"1,2,5,6",1,"14,1,8",1
12599,2020,"32,060,320,603,206,000,000,000,000,000,000,000",7,2,"4,4",4,2,989000,288500,5,2,37,11,13,"1,2,4,5,6,8,15",1,"2,1,8",1
12600,2020,"3,633,036,330",2,0,,2,0,48500,28500,4,1,47,11,13,"1,2,6,8",1,"2,7,8",4
12601,2020,35360,1,0,,3,0,30000,30000,4,1,67,11,13,"1,2,6",1,"1,2,11",3
12602,2020,"3,532,035,320",2,0,,5,0,65500,65500,4,1,75,11,13,"1,2,6,7",1,"2,1,11",1
12603,2020,35320,1,0,,2,0,100000,50000,4,1,72,7,13,1,1,"1,11",1
12605,2020,35330,1,0,,4,0,180000,45000,4,1,68,7,13,1,1,3,1
12606,2020,36390,1,0,,2,0,140000,70000,5,1,54,8,13,"1,2",1,"2,8",1
12607,2020,36460,1,1,10,4,0,450000,112500,5,2,26,8,13,"1,2,6",1,"2,8",3
12608,2020,35380,1,1,3,4,2,400000,100000,4,1,37,8,13,"1,2,6",1,"2,4",1
12609,2020,35380,1,0,,2,0,150000,75000,4,2,57,8,13,"1,2",1,2,1
12610,2020,"3,638,036,380",2,1,11,4,2,400000,100000,5,1,48,8,13,"1,2,6",1,"2,11",1
12611,2020,"3,538,035,380",2,1,3,4,2,450000,112500,4,2,48,8,13,"1,2,6",1,"2,11",1
12612,2020,36380,1,1,11,4,2,300000,75000,5,1,47,8,13,"1,2,6",1,"2,8",1
12613,2020,35010,1,0,,4,0,200000,50000,4,2,33,8,13,"1,2",1,"2,8",3
12614,2020,35040,1,0,,2,0,150000,75000,4,1,54,8,13,"1,2",1,"2,8",1
12615,2020,36380,1,1,3,4,0,450000,112500,5,1,27,8,13,"1,2,6",1,"2,1",3
12616,2020,36310,1,0,,2,0,100002,33334,4,2,17,9,13,6,1,2,1
12617,2020,36390,1,0,,3,0,125001,41667,4,1,54,9,13,"2,17",1,2,3
12619,2020,35360,1,0,,3,0,145002,48334,3,2,52,9,13,2,1,"3,2",1
12620,2020,36330,1,0,,3,0,120000,40000,4,1,32,9,13,"2,5",1,"8,5",3
12627,2020,"3,536,035,010",2,"0,0",,3,1,150000,50000,5,1,36,10,13,"1,2",1,"2,4",1
12628,2020,"3,538,035,320",2,"0,1",3,4,0,400000,100000,4,1,27,10,13,"1,6",1,2,3
12629,2020,"3,506,035,040",2,"0,0",,4,2,200000,50000,4,2,38,10,13,"1,11",1,"2,8",1
12630,2020,35380,1,1,3,4,0,410000,102500,4,2,21,10,13,"1,2,6",8,"2,1",3
12631,2020,35380,1,0,,2,0,150000,75000,4,1,54,10,13,"1,2",1,"2,4",1
12633,2020,"3,601,035,350",2,"0,1",12,2,0,110000,55000,4,2,37,1,13,"1,6",1,10,3
