,year,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,target_area7,target_area8,target_area9,target_area10,target_area11,no_of_place,sleepnights_1,sleepnights_2,sleepnights_3,sleepnights_4,sleepnights_5,sleepnights_6,sleepnights_7,sleepnights_8,accommodation_1,accommodation_2,accommodation_3,number_of_ppl,number_of_children,cost_total_trip,satisfied,sex,age,month,living_area,transportation1,transportation2,transportation3,reason1,reason2,reason3,relationship1,relationship2,relationship3,target
86,2018,31190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,30000,4,1,16,9,11,2,5,0,5,2,0,3,0,0,엑티비티
87,2018,32320,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,4,0,82608,4,1,19,9,11,1,0,0,5,1,0,1,0,0,"힐링,호캉스"
88,2018,31130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,30000,4,1,51,10,11,1,0,0,4,5,3,1,0,0,"힐링,호캉스"
89,2018,32340,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3,0,93260,4,2,20,2,11,1,0,0,1,5,0,3,0,0,"힐링,호캉스"
90,2018,31370,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,100000,4,1,28,6,11,1,0,0,5,2,0,1,0,0,"힐링,호캉스"
91,2018,32060,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,130000,4,1,36,3,11,1,0,0,5,1,0,1,0,0,"힐링,호캉스"
92,2018,23310,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,30000,4,1,20,5,11,1,0,0,5,8,14,1,0,0,"식도락,맛집투어"
93,2018,32310,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,4,0,172000,4,1,27,2,11,1,0,0,5,4,6,3,0,0,엑티비티
94,2018,33020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,39000,4,2,73,5,11,1,0,0,11,1,2,5,0,0,"힐링,호캉스"
95,2018,31190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,67000,4,1,33,5,11,1,0,0,1,14,2,1,0,0,엑티비티
96,2018,31370,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,35000,4,1,56,1,11,1,0,0,8,0,0,1,0,0,"식도락,맛집투어"
97,2018,32050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,45454,4,2,45,11,11,7,0,0,9,11,0,5,0,0,"힐링,호캉스"
98,2018,31190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,50000,5,2,45,8,11,1,0,0,14,4,2,1,0,0,엑티비티
99,2018,31090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,50000,4,2,38,9,11,1,0,0,4,14,0,3,0,0,"힐링,호캉스"
100,2018,32030,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3,0,108695,4,1,27,9,11,1,0,0,3,11,0,3,0,0,"힐링,호캉스"
