,place_info,area,target
216,굴혈포갯벌체험장,충청남도 태안군,"힐링, 호캉스"
217,봉덕제,전라남도 영광군,"힐링, 호캉스"
218,용지제,전라남도 구례군,"힐링, 호캉스"
219,원광농장,전라북도 정읍시,액티비티
220,삼밀사,경상남도 창원시,"힐링, 호캉스"
221,백운산휴양타운,전라남도 광양시,액티비티
222,신기제,전라북도 고창군,"힐링, 호캉스"
223,풍곡제,전라남도 영광군,"힐링, 호캉스"
224,평화유원지,강원도 화천군,액티비티
225,분지섬저수지,경기도 화성시,"힐링, 호캉스"
226,소안저수지,전라남도 완도군,"힐링, 호캉스"
227,고포제,전라남도 고흥군,"힐링, 호캉스"
228,수유제,전라남도 진도군,"힐링, 호캉스"
229,거제제,전라남도 진도군,"힐링, 호캉스"
230,교동제,전라남도 해남군,"힐링, 호캉스"
231,남성제,전라남도 해남군,"힐링, 호캉스"
232,용정제,전라남도 해남군,"힐링, 호캉스"
233,비선제,전라남도 고흥군,"힐링, 호캉스"
234,금자2저수지,전라남도 해남군,"힐링, 호캉스"
235,간월호,충청남도 서산시,"힐링, 호캉스"
236,연지지,경상북도 문경시,"힐링, 호캉스"
237,석용제,전라남도 해남군,"힐링, 호캉스"
238,가래곡지,경상북도 안동시,"힐링, 호캉스"
239,소장동저수지,전라남도 신안군,"힐링, 호캉스"
240,마산제,전라남도 해남군,"힐링, 호캉스"
241,가학제,전라남도 영암군,"힐링, 호캉스"
242,화매저수지,경상북도 영양군,"힐링, 호캉스"
243,삭둔제,전라남도 강진군,"힐링, 호캉스"
244,산정제,전라북도 고창군,"힐링, 호캉스"
245,지동제,경상북도 김천시,"힐링, 호캉스"
246,화산지,경상북도 영천시,"힐링, 호캉스"
247,와곡지,경상북도 영천시,"힐링, 호캉스"
248,성산저수지,전라남도 여수시,"힐링, 호캉스"
249,목원공예전시판매장,전라북도 남원시,"식도락, 맛집투어"
250,장곡제,전라북도 고창군,"힐링, 호캉스"
251,우도저수지,제주특별자치도 제주시,"힐링, 호캉스"
252,학동제,전라남도 강진군,"힐링, 호캉스"
253,학용제,전라남도 영암군,"힐링, 호캉스"
254,유수제,전라남도 영암군,"힐링, 호캉스"
255,죽전제,전라남도 무안군,"힐링, 호캉스"
256,영천소류지,경상남도 하동군,"힐링, 호캉스"
257,죽림제,전라남도 광양시,"힐링, 호캉스"
258,자풍제,전라남도 함평군,"힐링, 호캉스"
259,수호제,전라남도 함평군,"힐링, 호캉스"
260,농신제,전라남도 화순군,"힐링, 호캉스"
261,수곡제,전라남도 곡성군,"힐링, 호캉스"
262,용사제,전라남도 곡성군,"힐링, 호캉스"
263,수산제,전라남도 곡성군,"힐링, 호캉스"
264,신촌제,전라남도 구례군,"힐링, 호캉스"
265,정수1소류지,경상남도 하동군,"힐링, 호캉스"
266,민드득못,경상남도 함안군,"힐링, 호캉스"
267,오미제,전라남도 구례군,"힐링, 호캉스"
268,문학제,전라남도 담양군,"힐링, 호캉스"
269,축산저수지,전라북도 군산시,"힐링, 호캉스"
270,원당제,전라남도 영광군,"힐링, 호캉스"
271,석산제,전라남도 영광군,"힐링, 호캉스"
272,만수제,전라남도 장성군,"힐링, 호캉스"
273,백곡이호제,전라남도 곡성군,"힐링, 호캉스"
274,대동제,전라북도 남원시,"힐링, 호캉스"
275,우견제,전라북도 고창군,"힐링, 호캉스"
276,매죽제,전라북도 정읍시,"힐링, 호캉스"
277,오정제,전라북도 정읍시,"힐링, 호캉스"
278,신복양어장,전라북도 부안군,"힐링, 호캉스"
279,옥남제,전라북도 정읍시,"힐링, 호캉스"
280,경산불교사,경상북도 경산시,"힐링, 호캉스"
281,본리지,대구광역시 달성군,"힐링, 호캉스"
282,송촌지,대구광역시 달성군,"힐링, 호캉스"
283,중촌지,대구광역시 달성군,"힐링, 호캉스"
284,망월지,대구광역시 수성구,"힐링, 호캉스"
285,하도치제,전라북도 진안군,"힐링, 호캉스"
286,선제,전라북도 김제시,"힐링, 호캉스"
287,율산제,전라북도 김제시,"힐링, 호캉스"
288,신성제,전라북도 김제시,"힐링, 호캉스"
289,사동제,전라북도 전주시,"힐링, 호캉스"
290,은방수양어장,전라북도 전주시,"힐링, 호캉스"
291,세목지,경상북도 성주군,"힐링, 호캉스"
292,새검지,대구광역시 동구,"힐링, 호캉스"
293,연화지,경상북도 영천시,"힐링, 호캉스"
294,삼양굴비,전라남도 영광군,"식도락, 맛집투어"
295,강릉바우길,강원도 강릉시,"힐링, 호캉스"
296,금선선원,부산광역시 금정구,"힐링, 호캉스"
297,자비사,경상북도 경주시,"힐링, 호캉스"
298,옥용사,경상북도 문경시,"힐링, 호캉스"
299,만물공예사,강원도 강릉시,"식도락, 맛집투어"
300,송원사,경기도 남양주시,"힐링, 호캉스"
301,수월사,경상남도 양산시,"힐링, 호캉스"
302,용암사,충청북도 청주시,"힐링, 호캉스"
303,화엄사,부산광역시 사상구,"힐링, 호캉스"
304,정토사,전라남도 광양시,"힐링, 호캉스"
305,금선사,광주광역시 광산구,"힐링, 호캉스"
306,향림사,충청북도 괴산군,"힐링, 호캉스"
307,일월산황씨부인당,경상북도 영양군,"힐링, 호캉스"
308,임학사,충청북도 괴산군,"힐링, 호캉스"
309,용두정사,경상북도 예천군,"힐링, 호캉스"
310,대원사,경기도 안성시,"힐링, 호캉스"
311,보현사,제주특별자치도 서귀포시,"힐링, 호캉스"
312,월명사,경상남도 함안군,"힐링, 호캉스"
313,세명사,경상북도 영천시,"힐링, 호캉스"
314,화림사,경상남도 산청군,"힐링, 호캉스"
315,염불사,경상북도 경주시,"힐링, 호캉스"
316,대복정사,충청북도 진천군,"힐링, 호캉스"
317,세계불교법왕청평화재단,경기도 화성시,"힐링, 호캉스"
318,만해사,전라남도 고흥군,"힐링, 호캉스"
